名称,价格,简介,元素,难度,时长,人员配置,人员,,,,,,,,,
DM又死了,￥98,“麻绳捆绑、口鼻窒息、利刃穿刺我喜欢让DM死在玩家眼前他们越挣扎，你们越沉浸所以这一次，DM又死了欢迎各位参加“第二届预言学术研讨会”时间、地点、五行、物品、伤痕、符号你们的预言，将再一次杀死他”,"['桌面', '现代', '推理', '惊悚', '还原', '新本格', '盒装']",进阶,5.5,3男3女,6,,,,,,,,,
集会·魔女屋-玻璃屋系列二,￥59,“你会成为这魔女屋的下一个牺牲品吗？”《集会·魔女屋》是一个硬核推理本，题材新颖，人物角色个性丰富。前期欢乐机制迅速破冰，后期不大的阅读量下实际有着巨大的信息点，一层一层的迷雾背后到底隐藏着什么？最后的结局还会有一个小反转，抛出一个问题让玩家思考，只是到了这时，你还能遵循自己的内心吗？,"['桌面', '欧式', '现代', '推理', '还原', '变格', '盒装']",进阶,4.5,6女,6,,,,,,,,,
艺伎回忆录,￥39.90,"“华族、军人、忍者、艺伎，这本《艺伎回忆录》会带你回到阴谋与浪漫并存的日本大正时代
”","['桌面', '日式', '阵营', '情感', '半封闭', '本格', '盒装']",进阶,4,4男4女,8,,,,,,,,,
末班车,￥58,“1945年，抗日战争结束前夕。胜利的曙光尚未到来，日寇仍在华夏大地肆虐，负隅顽抗，并秘密制定了“末班车”行动计划，妄图实现其最后的野心图谋。”,"['桌面', '民国', '机制', '谍战', '本格', '盒装']",进阶,4.5,5男2女,7,,,,,,,,,
浮生梦?余烬,￥158,“一枕黄粱，一折红戏。 一场烟花，一抔余烬。 你是否还记得幼时，奶奶在你枕边呢喃过的那些故事：先辈生逢乱世，临危相爱，以身殉国，护卫山河万里？”,"['桌面', '现代', '情感', '还原', '封闭', '本格', '城限']",进阶,4.5,3男3女,6,,,,,,,,,
眠梦不老泉,￥39.90,“不在场证明，众目睽睽之下的死亡事件，不可能的密室”，这些都是《眠梦不老泉》的三重谜案。作为一个六人本格硬核推理本，你不仅可以在这个剧本中感受三起凶案的扑朔迷离，还可以体会还原真相后直击人性的反思。从谋杀之谜的世界回到沉浸世界，《眠梦不老泉》不要错过了。,"['桌面', '欧式', '现代', '推理', '开放', '还原', '本格', '盒装']",烧脑,6,3男3女,6,,,,,,,,,
破晓,￥168,“一支针管，一个印记，一场大火，一间画廊。星花盛放，启明高悬，如同金沙般的液体赐予人类盛大且虚伪的幻想，背后的阴影则高举屠刀，在神赐般的美好梦境中，将心志摧毁得一干二净。”,"['桌面', '现代', '情感', '还原', '城限']",进阶,5,3男3女,6,,,,,,,,,
阿姐鼓,￥68,“向阳村位于大凉山的八万大山之中，这里群山环绕，地势偏远，这个村子如同幽灵之地，一直只存在于人们的口中。这里没有公路，没有电，更没有网络，若不是因为那场大火，向阳村永远都不会暴露在世人的眼中。”,"['桌面', '现代', '推理', '恐怖', '开放', '还原', '变格', '盒装']",进阶,3.5,3男4女,7,,,,,,,,,
阴缘,￥59,如果不能在一起，那我就死在你的身边吧。姻缘中唢呐是喜庆，阴缘中唢呐是毛骨悚然。古风情感恐怖本《阴缘》让你边尖叫边哭。作为恐怖本，它该有的效果全做到了，只需要你准备好跟npc来一场零距离互动。除了恐怖，代入到位的话你会发现《阴缘》是个悲伤的故事，不论是吓哭还是感动哭，《阴缘》不会让你失望。,"['桌面', '古风', '情感', '恐怖', '开放', '变格', '盒装']",进阶,4,3男3女,6,,,,,,,,,
宿醉1,￥59,"“这个剧本太多梗了，这是冷笑话大全吗？
”","['桌面', '现代', '欢乐', '本格', '盒装']",进阶,4,3男3女,6,,,,,,,,,
013极乐密室,￥58,别回头，厉鬼在看着你......《013极乐密室》是一部以民国为背景的硬核本，胆小的玩家不要怕，它的恐怖程度友好到能让你会心一笑。《极乐密室》算是比较经典的推理本，其最大的亮点就在于双密室的构建，密室的设计巧妙合理，还兼并着趣味性，不会显得枯燥。以及其经典缜密的作案手法，让你在推理过程中过饱瘾，推土机的硬核本目录上可以多添加上它了。,"['桌面', '民国', '推理', '本格', '盒装']",烧脑,7,3男2女,5,,,,,,,,,
两点半,￥48,“你有没有听说过怪谈协会？”,"['桌面', '现代', '推理', '恐怖', '还原', '盒装']",进阶,5,3男3女,6,,,,,,,,,
老骗子俱乐部,￥58,“在很久很久以前，有一个神秘的组织出现在人间，他们以一切18禁为荣，历朝历代的统治者身后都有他们的影子。”,"['桌面', '现代', '机制', '欢乐', '开放', '还原', '本格', '盒装']",进阶,4.5,3男3女,6,,,,,,,,,
雾海同行,￥79,剧本情节圆满，人物动机合理，推理过程严丝合缝，细节感拉满。机制与推理丝丝入扣，剧本主题在玩家的行为中充分体现，战斗、交易、协作，勾心斗角，尔虞我诈，勇气与背叛，真情与谎言。特别是收到漂流瓶中“神秘馈赠”的环节，宿命感与轮回感铺面而来，仿佛真地置身于迷雾与海洋中，眼前看不到星光与远方，只有幽灵一样徘徊的船只，与亡灵们一遍遍地诉说着的亚蒙岛与不死者的传说......,"['桌面', '欧式', '架空', '机制', '推理', '欢乐', '还原', '变格', '盒装']",进阶,5,4男2女,6,,,,,,,,,
人间星火,￥59,"“山河错落 ，人间星火…
当你站在茫茫黑夜之中，伸手不见五指。不论何人都会感受到孤独和恐惧吧……
诚然，生而为平凡并非你的过错。但是如果有机会照亮这黑暗的一方天地，你是否愿意点燃自己，成为那一盏……燎原的……星星之火？”","['桌面', '现代', '情感', '立意', '还原', '本格', '盒装']",进阶,4.5,3男2女,5,,,,,,,,,
金陵有座东君书院,￥119,欲买桂花同载酒，终不似，少年游。剧本以半文半白的形式叙述，并不会显得晦涩难懂，但是能带你置身于古时的书院之中。故事以校园时期的“傻事”作为开端，笑料百出，又以凶案辅助整个故事的还原，而在临近结束之际，知道真相时，又不禁为之动容。我们年少多少未达成的遗憾，就在《金陵有座东君书院》里完成吧。,"['桌面', '古风', '欢乐', '情感', '开放', '本格', '城限']",进阶,4.5,3男3女,6,,,,,,,,,
备忘录：死后即阅,￥58,“1938年，美国。1段纯属虚构的真实故事；3起绝不可能的魔术犯罪；6段彼此交织的人生经历；7年未被破解的宏伟诡计...这一切都被记载在一本离奇的备忘录中，切记死后才能翻阅。”,"['桌面', '欧式', '机制', '推理', '开放', '还原', '新本格', '盒装']",烧脑,5.5,3男2女,5,,,,,,,,,
火化吧！赶紧的,￥68,“生老病死是每个家庭都要经历的必然故事，死亡——火化——身后事”,"['桌面', '现代', '欢乐', '还原', '盒装']",新手,5,3男3女,6,,,,,,,,,
那时的我们,￥58,你还记得那青葱的校园生活吗？听着《同桌的你》，让我们梦回那年盛夏……手捧着宛如教科书般的剧本，身着校服，还未翻开剧本就已经让你有了身处校园的既视感。嘻嘻闹闹中，一幕幕剧情仿佛就是你在校园中的真实场景。上一秒让你回味校园中的青春阳光、热血激昂，下一秒又让你回忆起被错过的误解与未弥补的遗憾。到了最后，治愈温馨的结局重新温暖你的内心，让你不由自主地露出笑容，感叹：“那时的我们，真好！”,"['桌面', '现代', '校园', '情感', '还原', '变格', '盒装']",新手,4,4男4女,8,,,,,,,,,
请将我深埋,￥48,“莫西莫西，这里是佐藤一郎。”“喂，是我。”“是？怎么是你？！！”“对，是我…”“老朋友，怎么想起给我打电话了？”“有件事要麻烦你了，老伙计。”“等等，到底发生了什么，你...”,"['桌面', '日式', '现代', '推理', '立意', '开放', '还原', '盒装']",进阶,5,3男3女,6,,,,,,,,,
一座城,￥48,"""PVE跑团《一座城》作为鲜有的4人盒装本，竟拥有着丰富灵活而又独特有趣的探索机制，以及完整得令人惊叹的写实世界观架构。本作摒弃了卿卿我我的爱情，也没有惊为天人的技能绝学，字里行间只弥漫着无形命运的牵引暗示，随着玩家不懈努力，团结协作揭开一层层迷雾，迎接的是拨云见日还是更深渊处目光的企及？""","['桌面', '现代', '机制', '推理', '封闭', '盒装']",进阶,4,2男2女,4,,,,,,,,,
纸妻,￥39.90,娃娃的眼睛似蜜，治百病，要不要尝一口......专注于恐怖本的葵花工作室发行的《纸妻》，可以说是开店必备，沉迷于恐怖元素的新老玩家可以闭眼入坑。经典的民国背景、凄厉的歌声、破落而散发着鬼气的老宅都在告诉你，这里发生过惨绝人寰的故事。《纸妻》在有限的条件下将氛围拉到满级，恐怖而硬核，胆小勿入！,"['桌面', '民国', '阵营', '恐怖', '开放', '还原', '变格', '盒装']",进阶,3.5,4男3女,7,,,,,,,,,
关于北原千夜的一切,￥138,“人能否掌握他人的命运呢？得到的答案往往是不能。”,"['桌面', '日式', '推理', '立意', '还原', '本格', '城限']",进阶,5,4男2女,6,,,,,,,,,
案件重演,￥68,“2026年，能帮助警方侦破命案的逆天仪器“神探仪”问世，只要对死者或者凶器进行扫描，就能立刻锁定凶手的位置。但神探仪是有局限性的，并不能找出证据指认凶手，所以“罪演师”因此诞生。”,"['桌面', '架空', '推理', '欢乐', '开放', '本格', '盒装']",烧脑,5,4男3女,7,,,,,,,,,
鲸鱼马戏团,￥39.90,人生是一场有去无回的旅行《鲸鱼马戏团》在剧本的开头就带来了欢乐的破冰撕比环节|快速拉近玩家之间的距离|过程中则是全新的世界观|更运用有趣的推理方式和不易察觉的叙诡|打破情感本无推理的固有思维。在不知不觉中给你带来沉浸和感动|最终还将有诸多让你破涕为笑的治愈环节|以及温暖的结局。想要轻松欢乐玩本的你千万不要错过！,"['桌面', '现代', '欢乐', '情感', '开放', '还原', '盒装']",进阶,4,2男4女,6,,,,,,,,,
逢山遇鬼,￥39.90,多元素且都做的不错不是好人该死|是因为他们看到受到苦难的人|宁愿自己去承受。这是一个多元素、梦幻的治愈情感本|包含了微恐却又不失欢乐。开局俏皮可爱却不显幼稚的文字|加上欢乐的破冰小游戏|使你很快沉浸其中。简短细腻的剧情耐人寻味|画面感十足|恐怖冒险又升华了整体氛围。情感演绎和令人动容的故事更是迅速将你的心揪起。当最终的伤感别离来临|你将面对心中最深的那抹执念。愿我们都能努力做那个善良可爱的人。,"['桌面', '现代', '情感', '恐怖', '还原', '变格', '盒装']",新手,5,3男4女,7,,,,,,,,,
